Date,Month,Month_Label,Year,Department,Region,Product_Category,Revenue_Actual,Revenue_Budget,Revenue_Variance,Cost_Actual,Cost_Budget,Cost_Variance,Profit_Actual,Profit_Budget,Profit_Variance,Headcount,Currency
2023-01-01,2023-01,Jan 2023,2023,Sales,North America,Software,207229.58,249670.79,-42441.21,150568.65,156498.73,-5930.08,56660.93,93172.06,-36511.13,5,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,North America,Hardware,159044.64,185483.42,-26438.78,134846.1,130329.24,4516.86,24198.54,55154.18,-30955.64,22,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,North America,Consulting,246452.8,285495.48,-39042.68,188504.38,197557.85,-9053.47,57948.42,87937.63,-29989.21,14,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,North America,Support Services,395270.15,425376.68,-30106.53,272922.22,268790.69,4131.53,122347.93,156585.99,-34238.06,8,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,North America,Training,371797.06,436986.22,-65189.16,334690.65,324256.39,10434.26,37106.41,112729.83,-75623.42,5,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Europe,Software,238325.88,276996.4,-38670.52,159990.03,177391.23,-17401.2,78335.85,99605.17,-21269.32,9,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Europe,Hardware,218320.51,232263.21,-13942.7,146390.93,142173.53,4217.4,71929.58,90089.68,-18160.1,9,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Europe,Consulting,316430.31,334313.83,-17883.52,208455.69,218517.13,-10061.44,107974.62,115796.7,-7822.08,25,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Europe,Support Services,135557.13,147541.02,-11983.89,116522.1,101701.89,14820.21,19035.03,45839.13,-26804.1,19,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Europe,Training,287847.17,357325.85,-69478.68,219619.27,215644.57,3974.7,68227.9,141681.28,-73453.38,16,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Asia Pacific,Software,98550.06,114087.26,-15537.2,68347.73,69924.4,-1576.67,30202.33,44162.86,-13960.53,3,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Asia Pacific,Hardware,196926.98,240045.83,-43118.85,178448.77,158622.18,19826.59,18478.21,81423.65,-62945.44,4,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Asia Pacific,Consulting,302374.15,348982.14,-46607.99,263232.66,237943.23,25289.43,39141.49,111038.91,-71897.42,7,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Asia Pacific,Support Services,206711.13,228599.58,-21888.45,157428.24,168781.91,-11353.67,49282.89,59817.67,-10534.78,25,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Asia Pacific,Training,302684.45,331860.57,-29176.12,229859.69,229383.75,475.94,72824.76,102476.82,-29652.06,6,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Middle East,Software,109653.44,129860.2,-20206.76,97462.22,97222.21,240.01,12191.22,32637.99,-20446.77,9,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Middle East,Hardware,381353.91,449780.89,-68426.98,290939.45,303543.64,-12604.19,90414.46,146237.25,-55822.79,11,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Middle East,Consulting,119324.42,129229.57,-9905.15,74496.55,81142.32,-6645.77,44827.87,48087.25,-3259.38,12,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Middle East,Support Services,78321.29,84682.37,-6361.08,54778.49,55095.64,-317.15,23542.8,29586.73,-6043.93,13,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Middle East,Training,365801.36,425394.19,-59592.83,279613.99,281657.65,-2043.66,86187.37,143736.54,-57549.17,5,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Africa,Software,125772.06,156114.69,-30342.63,114106.53,102403.33,11703.2,11665.53,53711.36,-42045.83,17,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Africa,Hardware,163973.17,176688.12,-12714.95,120963.18,112003.81,8959.37,43009.99,64684.31,-21674.32,6,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Africa,Consulting,406085.05,447176.66,-41091.61,311922.15,282969.18,28952.97,94162.9,164207.48,-70044.58,24,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Africa,Support Services,324901.05,378878.69,-53977.64,287481.14,252226.67,35254.47,37419.91,126652.02,-89232.11,17,USD
2023-01-01,2023-01,Jan 2023,2023,Sales,Africa,Training,240464.61,256865.85,-16401.24,152610.8,156804.14,-4193.34,87853.81,100061.71,-12207.9,24,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,North America,Software,410751.26,447329.08,-36577.82,344468.48,304177.79,40290.69,66282.78,143151.29,-76868.51,11,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,North America,Hardware,220177.25,260987.21,-40809.96,215221.09,194492.14,20728.95,4956.16,66495.07,-61538.91,8,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,North America,Consulting,179050.72,198562.16,-19511.44,157269.89,137135.26,20134.63,21780.83,61426.9,-39646.07,24,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,North America,Support Services,315272.95,380226.8,-64953.85,234835.54,247347.82,-12512.28,80437.41,132878.98,-52441.57,3,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,North America,Training,325644.09,360165.75,-34521.66,254352.88,268214.4,-13861.52,71291.21,91951.35,-20660.14,24,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Europe,Software,331076.26,360483.07,-29406.81,231364.5,230401.84,962.66,99711.76,130081.23,-30369.47,25,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Europe,Hardware,164557.32,177119.37,-12562.05,115448.93,115451.8,-2.87,49108.39,61667.57,-12559.18,6,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Europe,Consulting,241386.28,290695.62,-49309.34,224291.1,197183.21,27107.89,17095.18,93512.41,-76417.23,8,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Europe,Support Services,271351.21,294668.7,-23317.49,210625.55,218044.15,-7418.6,60725.66,76624.55,-15898.89,16,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Europe,Training,243286.34,276570.28,-33283.94,202756.45,191655.06,11101.39,40529.89,84915.22,-44385.33,22,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Asia Pacific,Software,334468.38,402953.22,-68484.84,225104.75,243018.13,-17913.38,109363.63,159935.09,-50571.46,12,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Asia Pacific,Hardware,89927.71,111740.02,-21812.31,66316.09,68021.38,-1705.29,23611.62,43718.64,-20107.02,20,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Asia Pacific,Consulting,311056.28,343087.86,-32031.58,223314.63,235439.54,-12124.91,87741.65,107648.32,-19906.67,6,USD
2023-01-01,2023-01,Jan 2023,2023,Operations,Asia Pacific,Support Services,456364.34,496564.78,-40200.44,308963.59,327617.05,-18653.46,147400.75,168947.73,-21546.98,17,USD
